image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-4729-thumb.jpg"">",DINO 4729,Not yet available,Stegosaurus sp.,Left dorsal rib,Adult,"Associated with DINO 4712 to 4728, 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4734-thumb.jpg"">",DINO 4734,Not yet available,Diplodocus sp.,Caudal vertebra 24 or 25,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4739-thumb.jpg"">",DINO 4739,Not yet available,Apatosaurus sp.,Caudal vertebra 14 or 15,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4741-thumb.jpg"">",DINO 4741,Not yet available,Allosaurus fragilis,Right illium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4760-thumb.jpg"">",DINO 4760,CL-1182,Diplodocus sp.,Right humerus,Adult,None apparent,16 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4761-thumb.jpg"">",DINO 4761,Not yet available,"Sauropod, unidentified",Left splenial,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4762-thumb.jpg"">",DINO 4762,Not yet available,Camarasaurus sp.,Right coracoid ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4764-thumb.jpg"">",DINO 4764,Not yet available,Stegosaurus sp.,Right medianposterior dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4765-thumb.jpg"">",DINO 4765,Not yet available,Camptosaurus sp.,Right dorsal rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4769-thumb.jpg"">",DINO 4769,Not yet available,Camarasaurus sp.,Left scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4770-thumb.jpg"">",DINO 4770,Not yet available,Stegosaurus sp.,Right dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4771-thumb.jpg"">",DINO 4771,Not yet available,Haplocanthosaurus,Left scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4772-thumb.jpg"">",DINO 4772,Not yet available,Stegosaurus sp.,Right scapula,Adult,Associated with DINO 4773,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4773-thumb.jpg"">",DINO 4773,Not yet available,Stegosaurus sp.,Right coracoid ,Adult,Associated with DINO 4772,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4840-thumb.jpg"">",DINO 4840,Not yet available,Diplodocus sp.,Distal caudal vertebra posterior onefourth only,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4843-thumb.jpg"">",DINO 4843,CL-1278,Dryosaurus altus,Right dorsal rib,Adult,None apparent,13 in x 1 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4844-thumb.jpg"">",DINO 4844,CL-1279,Dryosaurus altus,Left dorsal rib,Adult,None apparent,8 in x 1 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4845-thumb.jpg"">",DINO 4845,Not yet available,"Dinosaur, unidentified",Scrap,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4848-thumb.jpg"">",DINO 4848,Not yet available,Stegosaurus sp.,Right humerus,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4849-thumb.jpg"">",DINO 4849,Not yet available,Stegosaurus sp.,Left tibia,Adult,"Associated with DINO 4850, 4854, 4855",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4851-thumb.jpg"">",DINO 4851,Not yet available,Stegosaurus sp.,Dermal plate 4 or 5,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4869-thumb.jpg"">",DINO 4869,CL-1305,Allosaurus fragilis,Portion of gastralia,Adult,None apparent,5 in x 2 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4880-thumb.jpg"">",DINO 4880,CL-1316,Diplodocus sp.,Neural arch and spine of anterior caudal vertebra,Adult,None apparent,11 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4883-thumb.jpg"">",DINO 4883,Not yet available,"Sauropod, unidentified",Caudal chevron,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4886-thumb.jpg"">",DINO 4886,Not yet available,"Dinosaur, unidentified",Scrap,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4887-thumb.jpg"">",DINO 4887,Not yet available,"Sauropod, unidentified",Left dorsal rib lacking distal end ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4896-thumb.jpg"">",DINO 4896,Not yet available,Apatosaurus sp.,Left pubis,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4901-thumb.jpg"">",DINO 4901,Not yet available,Diplodocus sp.,Caudal vertebra 14,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4902-thumb.jpg"">",DINO 4902,CL-1338,Stegosaurus sp.,Neural arch & spine of dorsal vertebra,Adult,None apparent,4 in x 3 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4903-thumb.jpg"">",DINO 4903,Not yet available,"Sauropod, unidentified",Dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4905-thumb.jpg"">",DINO 4905,Not yet available,"Dinosaur, unidentified",Distal portion of dorsal rib shaft,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4906-thumb.jpg"">",DINO 4906,Not yet available,Diplodocus sp.,Caudal vertebra 27,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4941-thumb.jpg"">",DINO 4941,Not yet available,"Sauropod, unidentified",Right ulna ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4942-thumb.jpg"">",DINO 4942,Not yet available,Barosaurus sp.,Cervical vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4965-thumb.jpg"">",DINO 4965,Not yet available,"Sauropod, unidentified",Scrap,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4988-thumb.jpg"">",DINO 4988,Not yet available,"Sauropod, unidentified",Right ulna,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4992-thumb.jpg"">",DINO 4992,Not yet available,"Sauropod, unidentified",Left scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4993-thumb.jpg"">",DINO 4993,Not yet available,"Sauropod, unidentified",Left dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4995-thumb.jpg"">",DINO 4995,Not yet available,"Sauropod, unidentified",Femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4999-thumb.jpg"">",DINO 4999,Not yet available,Diplodocus sp.,Left tibia,Adult,Associated with DINO 4927 to 4931,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-5050-thumb.jpg"">",DINO 5050,Not yet available,Camptosaurus sp.,Left metatarsal ii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-5088-thumb.jpg"">",DINO 5088,Not yet available,Diplodocus sp.,Left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-5101-thumb.jpg"">",DINO 5101,Not yet available,"Sauropod, unidentified",Rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-5110-thumb.jpg"">",DINO 5110,Not yet available,"Sauropod, unidentified",Right humerus,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-5119-thumb.jpg"">",DINO 5119,Not yet available,"Sauropod, unidentified",Right femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
