image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-4114-thumb.jpg"">",DINO 4114,Not yet available,Diplodocus sp.,Right femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4119-thumb.jpg"">",DINO 4119,Not yet available,Apatosaurus sp.,Right fibula,Adult,"Articulated with DINO 4118, 4120",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4120-thumb.jpg"">",DINO 4120,Not yet available,Apatosaurus sp.,Right astragalus,Adult,"Articulated with DINO 4118, 4119",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4125-thumb.jpg"">",DINO 4125,Not yet available,Diplodocus sp.,Left scapula,Adult,Articulated with DINO 4599,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4126-thumb.jpg"">",DINO 4126,Not yet available,"Sauropod, unidentified",Dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4135-thumb.jpg"">",DINO 4135,CL-0469,Apatosaurus sp.,Left metatarsal iii,Adult,None apparent,8 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4143-thumb.jpg"">",DINO 4143,Not yet available,Camarasaurus lentus,Left femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4144-thumb.jpg"">",DINO 4144,Not yet available,Stegosaurus sp.,Dermal plate,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4148-thumb.jpg"">",DINO 4148,Not yet available,Diplodocus sp.,Left illium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4149-thumb.jpg"">",DINO 4149,Not yet available,Diplodocus sp.,Right metatarsal iii ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4150-thumb.jpg"">",DINO 4150,Not yet available,"Dinosaur, unidentified",Right dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4151-thumb.jpg"">",DINO 4151,Not yet available,Camarasaurus sp.,Right humerus,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4163-thumb.jpg"">",DINO 4163,Not yet available,Stegosaurus sp.,Dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4164-thumb.jpg"">",DINO 4164,Not yet available,Diplodocus sp.,Right ischium,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4165-thumb.jpg"">",DINO 4165,Not yet available,Diplodocus sp.,Left tibia ,Juvenile,"Associated with DINO 4166, 4314",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4166-thumb.jpg"">",DINO 4166,Not yet available,Diplodocus sp.,Left fibula ,Juvenile,"Associated with DINO  4165, 4314",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4167-thumb.jpg"">",DINO 4167,Not yet available,Diplodocus sp.,Centrum of cervical vertebra ,Juvenile,"Associated with DINO 4169, 4317, 4318, 4329",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4168-thumb.jpg"">",DINO 4168,Not yet available,Camptosaurus sp.,Right pubis,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4170-thumb.jpg"">",DINO 4170,Not yet available,Diplodocus sp.,Right ischium ,Juvenile,"Associated with DINO 4171, 4172, 4175",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4171-thumb.jpg"">",DINO 4171,Not yet available,Diplodocus sp.,Right pubis ,Juvenile,"DINO 4170, 4172, 4175",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4172-thumb.jpg"">",DINO 4172,Not yet available,Diplodocus sp.,Left femur ,Juvenile,"Associated with DINO 4170, 4171, 4175",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4175-thumb.jpg"">",DINO 4175,Not yet available,Diplodocus sp.,Left ischium ,Juvenile,Associated with DINO 41704172,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4178-thumb.jpg"">",DINO 4178,Not yet available,Stegosaurus sp.,Left femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4183-thumb.jpg"">",DINO 4183,Not yet available,Diplodocus sp.,Right scapula ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4184-thumb.jpg"">",DINO 4184,Not yet available,Diplodocus sp.,"Median caudal vertebrae 19, 20 and 21",Adult,"Associated with DINO 4185, 4201",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4184a-thumb.jpg"">",DINO 4184a,Not yet available,Diplodocus sp.,"Median caudal vertebrae 19, 20 and 21 ",Adult,"Associated with DINO 4185, 4201",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4184b-thumb.jpg"">",DINO 4184b,Not yet available,Diplodocus sp.,"Median caudal vertebrae 19, 20 and 21",Adult,"Associated with DINO 4185, 4201",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4188-thumb.jpg"">",DINO 4188,Not yet available,Diplodocus sp.,Left metacarpal ii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4206-thumb.jpg"">",DINO 4206,Not yet available,Diplodocus sp.,Left pedal ungual phalange of digit iii,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4209-thumb.jpg"">",DINO 4209,Not yet available,Camarasaurus sp.,Left tibia ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4210-thumb.jpg"">",DINO 4210,Not yet available,Camarasaurus sp.,Right radius ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4212-thumb.jpg"">",DINO 4212,Not yet available,"Ornithopod, unidentified",Dorsal rib distal half of shaft ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4213-thumb.jpg"">",DINO 4213,Not yet available,Camarasaurus sp.,Left metatarsal v,Adult,None apparent,Not yet available,Carnegie Quarry
